'userCount', 'averageHoldTime', 'averageSeekTime', 'averageNgramTime'
0, 85, 3731, 7652
1, 95, 2130, 4464
2, 89, 9269, 19361
3, 97, 1726, 3665
4, 98, 2085, 4392
5, 90, 1198, 2583
6, 8, 5157, 10921
7, 105, 308, 836
8, 14, 509, 1061
9, 70, 861, 1926
10, 66, 816, 1776
11, 110, 957, 2198
12, 67, 3364, 7754
13, 94, 766, 1733
14, 79, 15478, 30700
15, 86, 1275, 2739
16, 90, 2302, 4821
17, 87, 914, 2067
18, 86, 3360, 7002
19, 5, 799, 1750
20, 73, 226, 607
21, 121, 357, 965
22, 15, 1298, 2959
23, 24, 2019, 4327
24, 94, 3227, 6733
25, 87, 1319, 2820
26, 71, 5744, 11843
27, 98, 4523, 9412
28, 86, 915, 2009
29, 85, 7040, 14287
30, 103, 4154, 8537
31, 94, 1275, 2745
32, 82, 382, 926
33, 71, 4474, 9225
34, 75, 2950, 6145
35, 82, 670, 1528
36, 86, 1241, 2673
37, 71, 1317, 2809
38, 100, 248, 702
39, 86, 1314, 2928
40, 82, 983, 2293
41, 141, 927, 2296
42, 86, 9018, 18322
43, 109, 807, 1841
44, 81, 2105, 4414
45, 92, 964, 2134
46, 87, 832, 1851
47, 84, 2341, 4874
48, 95, 3865, 9342
49, 81, 956, 2121
50, 56, 3548, 8507
51, 101, 533, 1274
52, 118, 1544, 3340
53, 71, 2837, 5875
54, 24, 2019, 4327
55, 90, 3417, 7128
56, 84, 4870, 10094
57, 70, 715, 1698
58, 98, 877, 1956
59, 93, 3290, 6762
60, 79, 1243, 2649
61, 97, 766, 1726
62, 94, 1252, 2692
63, 71, 662, 1482
64, 72, 1802, 3781
65, 91, 1722, 3644
66, 80, 4623, 9657
67, 96, 3370, 8276
68, 87, 2487, 5258
69, 106, 1557, 3519
70, 104, 629, 1476
71, 68, 807, 1763
72, 94, 686, 1570
73, 113, 1497, 3241
74, 107, 736, 1697
75, 87, 2811, 5832
76, 80, 238, 612
77, 99, 342, 980
78, 81, 1648, 3525
79, 90, 5938, 13837
80, 106, 22935, 47643
81, 100, 4400, 9111
82, 66, 1188, 2544
83, 81, 1584, 3361
84, 34004, 72, 66694
85, 91, 734, 1654
86, 96, 570, 1335
87, 93, 5046, 10300
88, 94, 1252, 2692
89, 109, 907, 2038
90, 71, 600, 1344
91, 88, 1150, 2473
92, 65, 870, 1945
93, 87, 6634, 13667
94, 88, 5561, 13014
95, 75, 1620, 3665
96, 89, 861, 1982
97, 69, 1320, 3100
98, 65, 244, 628
99, 78, 198, 555
100, 5, 1176, 2537
101, 110, 1077, 2390
102, 85, 2143, 4485
103, 78, 662, 1491
104, 90, 1711, 3624
105, 114, 284, 886
106, 21, 2307, 5087
107, 80, 188, 548
108, 93, 1740, 3766
109, 100, 1860, 4323
110, 81, 3055, 6347
111, 142, 4100, 8814
112, 84, 3253, 6720
113, 74, 919, 1995
114, 99, 709, 1673
115, 76, 990, 2138
116, 99, 1938, 4085
117, 94, 1252, 2692
118, 81, 45722, 91880
119, 104, 755, 1724
120, 78, 637, 1436
121, 83, 52656, 105910
122, 87, 1053, 2291
123, 77, 9538, 19869
124, 83, 3042, 6337
125, 75, 2006, 4632
126, 77, 1936, 4065
127, 104, 899, 2014
128, 105, 998, 2216
129, 105, 772, 1760
130, 95, 973, 2145
131, 102, 5041, 10342
132, 85, 1300, 2782
133, 86, 4440, 9121
134, 84, 1156, 2683
135, 80, 1569, 3329
136, 79, 3105, 6413
137, 88, 1237, 2662
138, 92, 548, 1285
139, 85, 3532, 7259
140, 91, 798, 1785
141, 97, 588, 1376
142, 83, 11778, 23809
143, 101, 1750, 3714
144, 88, 1237, 2662
145, 105, 683, 1582
146, 79, 521, 1191
147, 89, 2046, 4297
148, 92, 966, 2124
149, 73, 2856, 5930
150, 99, 891, 2070
151, 101, 772, 1754
152, 96, 574, 1347
153, 78, 675, 1514
154, 102, 743, 1695
155, 62, 402, 993
156, 66, 474, 1084
157, 65, 1306, 2779
158, 90, 1621, 3443
159, 74, 1146, 2462
160, 89, 693, 1567
161, 88, 1237, 2662
162, 95, 1137, 2468
163, 103, 909, 2031
164, 108, 5843, 11945
165, 97, 1135, 2474
166, 74, 573, 1301
167, 74, 763, 1675
168, 79, 2699, 5619
169, 113, 5693, 11921
170, 67, 1300, 2757
171, 11, 3322, 6757
172, 104, 6087, 12613
173, 67, 874, 1904
174, 92, 1148, 2494
175, 96, 6440, 13142
176, 87, 703, 1587
177, 81, 633, 1435
178, 84, 9010, 11340
179, 82, 2550, 5376
180, 11, 3322, 6757
181, 84, 2186, 4588
182, 102, 700, 1608
183, 81, 4385, 9398
184, 112, 2156, 4553
185, 85, 4883, 9981
186, 87, 681, 1540
187, 85, 2296, 4778
188, 79, 624, 1411
189, 92, 585, 1359
190, 96, 893, 1985
191, 95, 589, 1371
192, 106, 695, 1609
193, 81, 1635, 3458
194, 65, 1235, 2665
195, 110, 1365, 3340
196, 98, 562, 1362
197, 115, 14568, 29522
198, 76, 2997, 6180
199, 92, 1148, 2494
200, 92, 1148, 2494
201, 76, 2997, 6180
202, 85, 542, 1261
203, 68, 2908, 6042
204, 94, 640, 1518
205, 16, 1356, 2792
206, 90, 1625, 3454
207, 76, 1051, 2264
208, 90, 729, 1645
209, 117, 1558, 3362
210, 92, 585, 1359
211, 102, 1950, 4120
212, 101, 1300, 2813
213, 87, 3930, 8067
214, 135, 126905, 254970
215, 76, 4025, 8268
216, 6, 1088, 2203
217, 88, 2079, 4349
218, 101, 4271, 8775
219, 96, 62151, 125086
220, 75, 766, 1691
221, 89, 1143, 2476
222, 96, 62151, 125086
223, 104, 10877, 22074
224, 93, 310, 844
225, 99, 3057, 6351
226, 66, 1680, 3516
227, 77, 957, 2073
228, 107, 771, 1764
229, 97, 12372, 25036
230, 101, 2938, 6100
231, 103, 1362, 2937
232, 117, 183740, 369408
233, 91, 1951, 4098
234, 62, 1200, 2559
235, 19, 6367, 21234
236, 72, 2515, 5293
237, 76, 2335, 4840
238, 91, 862, 1913
239, 97, 989, 2182
240, 88, 616, 1414
241, 79, 85649, 172267
242, 79, 5060, 10382
243, 84, 905, 2065
244, 71, 2839, 5900
245, 88, 4467, 9175
246, 75, 412, 987
247, 83, 1464, 3106
248, 99, 740, 1684
249, 107, 686, 1593
250, 100, 1241, 2691
251, 93, 1121, 2436
252, 87, 1053, 2291
253, 91, 6885, 14546
254, 76, 936, 2034
255, 75, 3611, 7464
256, 73, 5337, 11023
257, 90, 1246, 4287
258, 106, 978, 2178
259, 84, 10239, 20739
260, 84, 10239, 20739
261, 101, 1030, 2272
262, 67, 3364, 7754
263, 82, 10865, 22984
264, 100, 3107, 6502
265, 75, 1053, 2265
266, 72, 8227, 17221
267, 81, 969, 2109
268, 91, 857, 1904
269, 85, 3807, 7816
270, 85, 1973, 4131
271, 111, 1631, 3494
272, 83, 766, 1705
273, 103, 3047, 6451
274, 67, 990, 2135
275, 83, 2587, 5371
276, 100, 830, 1870
277, 95, 973, 2145
278, 123, 808, 1873
279, 101, 1030, 2272
280, 92, 708, 1608
281, 79, 1554, 3284
282, 71, 2856, 5972
283, 75, 2154, 4508
284, 85, 4048, 8486
285, 85, 3807, 7816
286, 117, 945, 2133
287, 86, 6994, 14215
288, 97, 4789, 9892
289, 112, 750, 1727
290, 91, 1213, 2621
291, 70, 1559, 3312
292, 96, 3967, 8201
293, 71, 6839, 14681
294, 19, 1588, 5232
295, 61, 326, 810
296, 95, 883, 1962
297, 92, 71659, 144654
298, 71, 879, 1925
299, 5, 614, 1266
300, 73, 1913, 4428
301, 139, 2521, 5438
302, 114, 836, 1909
303, 91, 4289, 8842
304, 98, 193975, 388988
305, 111, 5182, 10912
306, 91, 741, 1669
307, 82, 1061, 2501
308, 90, 78728, 158045
309, 85, 3969, 8300
310, 82, 356, 931
311, 83, 1516, 3462
312, 38, 2063, 4776
313, 10, 4134, 9365
314, 79, 1323, 2810
315, 95, 883, 1962
316, 83, 38903, 81861
317, 101, 785, 1783
318, 95, 611, 1422
319, 82, 993, 2200
320, 121, 964, 2185
321, 6, 12786, 27753
322, 67, 437, 1028
323, 6, 987, 2113
324, 73, 1305, 2826
325, 68, 1040, 2225
326, 119, 2029, 4327
327, 90, 78728, 158045
328, 108, 1788, 3946
329, 89, 3178, 6547
330, 107, 3340, 6915
331, 77, 179, 549
332, 78, 794, 1751
333, 85, 2074, 4338
334, 57, 3104, 6487
335, 83, 2890, 5997
336, 26, 57, 253
337, 121, 2037, 4656
338, 107, 927, 2192
339, 76, 3669, 7439
340, 90, 766, 1725
341, 92, 1105, 2410
342, 108, 1028, 2303
343, 91, 832, 1871
344, 92, 1105, 2410
345, 101, 1190, 2600
346, 88, 2027, 4285
347, 16, 726, 1547
348, 8, 3482, 11517
349, 96, 1992, 4283
350, 86, 3145, 6526
351, 98, 1709, 3663
352, 85, 3225, 6705
353, 79, 349, 862
354, 98, 1146, 2493
355, 93, 718, 1626
356, 91, 469, 1125
357, 101, 1068, 2343
358, 93, 3411, 7191
359, 94, 709, 1611
360, 92, 4934, 10336
361, 6, 2023, 4674
362, 5, 1031, 2166
363, 25, 926, 1974
364, 103, 936, 2108
365, 105, 21743, 44091
366, 91, 6001, 12285
367, 105, 1168, 2588
368, 28, 1468, 3005
369, 83, 797, 1787
370, 6, 1863, 4041
371, 105, 676, 1617
372, 107, 4203, 8662
373, 68, 1111, 2377
374, 91, 741, 1667
375, 72, 305, 763
376, 84, 1742, 3654
377, 85, 862, 1896
378, 72, 1513, 3179
379, 93, 293, 777
380, 84, 261, 695
381, 6, 648, 1327
382, 7, 558, 1162
383, 58, 108, 335
384, 5, 2540, 5766
385, 68, 115, 368
386, 75, 930, 1978
387, 22, 1809, 3815
388, 71, 1341, 2843
389, 72, 282, 711
390, 75, 1053, 2272
391, 5, 671, 1450
392, 67, 112, 360
393, 74, 202, 558
394, 97, 567, 1357
395, 85, 1360, 3577
396, 90, 228, 639
397, 6, 817, 1693
398, 86, 193, 561
399, 66, 266, 678
400, 85, 987, 2147
401, 84, 1762, 3694
402, 86, 339, 851
403, 84, 1787, 3743
404, 82, 2627, 5421
405, 87, 333, 844
406, 57, 349, 814
407, 86, 1110, 2338
408, 14, 413, 860
409, 67, 118, 373
410, 57, 133, 382
411, 72, 363, 872
412, 80, 725, 1689
413, 86, 421, 1017
414, 20, 770, 1682
415, 85, 1665, 3525
416, 88, 1155, 2498
417, 56, 121, 357
418, 65, 128, 390
419, 35, 1503, 3302
420, 86, 1110, 2338
421, 82, 460, 1086
422, 82, 213, 595
423, 84, 4076, 8324
424, 84, 1776, 3722
425, 85, 349, 871
426, 84, 1804, 3779
427, 84, 4437, 9044
428, 84, 1690, 3550
429, 23, 1371, 2963
430, 8, 744, 1546
431, 62, 200, 527
432, 67, 690, 1533
433, 7, 584, 1222
434, 86, 1345, 2870
435, 87, 1640, 3510
436, 67, 124, 384
437, 65, 226, 587
438, 67, 149, 436
439, 67, 207, 551
440, 75, 5100, 11028
441, 71, 483, 1185
442, 93, 789, 1900
443, 84, 689, 1549
444, 61, 229, 584
445, 76, 182, 537
446, 9, 1556, 3604
447, 83, 1711, 3592
448, 84, 4670, 9511
449, 83, 2875, 5916
450, 83, 1674, 3517
451, 84, 4233, 8637
452, 16, 819, 1704
453, 18, 301, 643
454, 7, 1016, 2090
455, 63, 477, 1086
456, 10, 1485, 3049
457, 4, 1635, 3746
458, 88, 1209, 2613
459, 15, 1441, 3006
460, 57, 115, 347
461, 71, 125, 393
462, 3, 777, 1594
463, 70, 246, 636
464, 9, 771, 1633
465, 69, 200, 541
466, 47, 1203, 2994
467, 18, 2268, 4946
468, 102, 1436, 3094
469, 66, 298, 733
470, 98, 1350, 2939
471, 101, 198, 602
472, 30, 817, 1817
473, 23, 793, 1645
474, 85, 301, 776
475, 83, 1644, 3457
476, 86, 867, 1907
477, 84, 181, 535
478, 94, 1624, 3445
479, 78, 1029, 2228
480, 85, 553, 1281
481, 69, 478, 1104
482, 84, 1069, 2336
483, 80, 1017, 2202
484, 90, 4069, 8488
485, 67, 185, 507
486, 107, 316, 885
487, 86, 2156, 4487
488, 9, 1116, 2316
489, 85, 2047, 4268
490, 73, 1121, 2400
491, 67, 371, 878
492, 86, 908, 2005
493, 94, 774, 1784
494, 72, 514, 1177
495, 67, 404, 945
496, 81, 689, 1547
497, 81, 928, 2034
498, 61, 1141, 2410
499, 72, 1290, 2735
500, 85, 2183, 4540
501, 82, 1374, 2917
502, 84, 1832, 3834
503, 84, 1776, 3724
504, 78, 761, 1689
505, 70, 3029, 6229
506, 80, 1084, 2339
507, 64, 689, 1508
508, 86, 1442, 3068
509, 76, 1672, 3548
510, 84, 777, 1734
511, 86, 1102, 2401
512, 90, 1858, 3911
513, 107, 1465, 3136
514, 77, 821, 1810
515, 71, 1079, 2308
516, 84, 1783, 3736
517, 84, 1826, 3821
518, 85, 1883, 3939
519, 83, 1702, 3574
520, 72, 687, 1515
521, 85, 1336, 2855
522, 79, 2049, 4369
523, 83, 756, 1687
524, 68, 358, 849
525, 78, 896, 1953
526, 83, 755, 1655
527, 97, 1149, 2516
528, 84, 1745, 3660
529, 85, 1923, 4018
530, 84, 1601, 3371
531, 97, 683, 1582
532, 21, 467, 997
533, 70, 2665, 5564
534, 89, 1094, 2372
535, 21, 467, 997
536, 80, 474, 1113
537, 84, 1706, 3583
538, 88, 1730, 4289
539, 84, 1619, 3412
540, 74, 214, 586
541, 63, 439, 1008
542, 122, 249, 775
543, 101, 2534, 5337
544, 79, 1218, 2609
545, 73, 905, 1969
546, 83, 1755, 3402
547, 78, 2831, 5847
548, 66, 273, 682
549, 90, 315, 791
550, 82, 919, 2009
551, 74, 1271, 2701
552, 88, 1774, 3751
553, 69, 1552, 3259
554, 83, 1554, 3291
555, 91, 3461, 7187
556, 91, 1553, 3503
557, 72, 156, 457
558, 90, 554, 1298
559, 71, 6068, 12778
560, 81, 600, 1366
561, 77, 184, 559
562, 87, 436, 1053
563, 72, 538, 1223
564, 83, 2801, 5769
565, 83, 2979, 6126
566, 76, 818, 1830
567, 79, 260, 681
568, 66, 205, 545
569, 11, 892, 1838
570, 76, 493, 1147
571, 19, 903, 1882
572, 13, 446, 937
573, 7, 320, 672
574, 112, 396, 1041
575, 83, 919, 2016
576, 79, 269, 700
577, 72, 240, 629
578, 83, 2882, 5932
579, 82, 2768, 5703
580, 83, 3114, 6396
581, 68, 269, 677
582, 84, 4917, 10005
583, 63, 196, 527
584, 36, 1935, 4243
585, 95, 182, 556
586, 70, 3163, 8607
587, 6, 747, 1549
588, 81, 173, 510
589, 164, 9586, 21547
590, 64, 197, 526
591, 111, 2349, 5471
592, 15, 602, 1296
593, 72, 214, 576
594, 94, 205, 604
595, 84, 5194, 10558
596, 77, 206, 571
597, 83, 3221, 6610
598, 85, 832, 1838
599, 84, 3834, 7839
600, 82, 2724, 5614
601, 90, 1296, 2816
602, 71, 355, 858
603, 71, 433, 1014
604, 4, 619, 1364
605, 71, 203, 551
606, 5, 2255, 5474
607, 82, 2325, 4911
608, 64, 1914, 3976
609, 21, 842, 1789
610, 97, 3554, 8146
611, 72, 217, 576
612, 75, 1362, 2926
613, 83, 869, 2025
614, 6, 431, 878
615, 82, 2686, 5539
616, 84, 3662, 7495
617, 86, 969, 2112
618, 82, 2646, 5459
619, 84, 3427, 7023
620, 72, 220, 588
621, 105, 235, 684
622, 75, 352, 857
623, 14, 2346, 5093
624, 85, 420, 1045
625, 6, 2817, 6265
626, 69, 415, 994
627, 21, 2020, 4573
628, 19, 884, 1916
629, 69, 275, 683
630, 93, 246, 683
631, 80, 348, 859
632, 84, 3522, 7214
633, 82, 2661, 5488
634, 76, 1154, 2479
635, 78, 210, 607
636, 93, 3476, 7205
637, 69, 2321, 5074
638, 87, 701, 1734
639, 76, 500, 1191
640, 99, 1418, 3048
641, 89, 311, 807
642, 175, 2626, 5621
643, 70, 130, 444
644, 5, 2972, 6325
645, 108, 31811, 66076
646, 84, 1622, 3489
647, 80, 212, 606
648, 79, 561, 1284
649, 74, 195, 565
650, 127, 988, 2170
651, 4, 693, 1413
652, 64, 451, 1096
653, 76, 799, 1755
654, 78, 218, 606
655, 16, 894, 1836
656, 83, 1343, 2898
657, 99, 834, 1974
658, 80, 4935, 10139
659, 85, 1695, 3677
660, 94, 1674, 3647
661, 82, 273, 731
662, 79, 2183, 4576
663, 70, 1193, 2874
